Funds,1 Wk Ret (%),1 Wk Rank,1 Mth Ret (%),1 Mth Rank,3 Mth Ret (%),3 Mth Rank,6 Mth Ret (%),6 Mth Rank,1 Yr Ret (%),1 Yr Rank
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan,-0.28,19/28,0.20,21/28,1.97,20/28,5.12,19/28,7.01,18/28
Shriram Aggressive Hybrid Fund - Direct Plan,-0.29,10/44,-0.12,18/44,3.92,37/44,6.00,41/44,-2.30,42/44
Shriram Balanced Advantage Fund - Direct Plan,-0.45,20/38,-0.72,34/38,2.13,36/38,3.86,34/37,-3.39,34/36
Shriram Multi Asset Allocation Fund - Direct Plan,-0.40,23/43,-0.07,30/43,3.26,35/41,6.00,38/40,-2.28,37/37
Sundaram Aggressive Hybrid Fund - Direct Plan,-0.61,27/44,-0.35,26/44,3.61,42/44,7.27,29/44,4.31,28/44
Sundaram Arbitrage Fund - Direct Plan,0.20,2/32,0.60,25/32,1.60,5/32,3.71,6/31,7.55,9/27
Sundaram Balanced Advantage Fund - Direct Plan,-0.46,21/38,-0.19,23/38,3.34,29/38,6.72,17/37,5.05,23/36
Sundaram Conservative Hybrid Fund - Direct Plan,-0.26,17/28,0.19,22/28,0.53,28/28,4.19,26/28,6.12,23/28
Sundaram Equity Savings Fund - Direct Plan,-0.23,17/23,-0.04,21/23,3.34,9/23,6.10,3/22,8.09,5/22
Sundaram Multi Asset Allocation Fund - Direct Plan,-0.36,22/43,-0.19,33/43,3.14,36/41,11.04,5/40,10.77,10/37
Tata Aggressive Hybrid Fund - Direct Plan,-0.76,31/44,-0.19,22/44,3.70,41/44,5.03,44/44,1.53,39/44
Tata Arbitrage Fund - Direct Plan,0.17,21/32,0.64,5/32,1.59,7/32,3.74,5/31,7.70,1/27
Tata Balanced Advantage Fund - Direct Plan,-0.50,25/38,0.04,16/38,3.61,24/38,5.86,29/37,3.77,27/36
Tata Equity Savings Fund - Direct Plan,-0.15,13/23,0.18,16/23,1.99,19/23,4.49,17/22,6.77,10/22
